strategy,ticker,name,K,total_return_%,mdd_%,win_rate_%,trades,tp_count,sl_count,close_count,vbt_sharpe
atr_trailing,035420,Naver,0.3,-86.49,-86.54,25.84,418,0,25,393,-5.254
atr_trailing,035720,Kakao,0.3,-89.27,-89.4,31.48,432,0,32,400,-4.634
atr_trailing,068270,Celltrion,0.3,-88.83,-88.83,27.97,404,0,33,371,-5.02
atr_trailing,122630,KODEX_Leverage,0.3,-87.91,-88.18,37.88,462,0,25,437,-3.758
atr_trailing,247540,EcoProBM,0.3,-93.8,-93.93,36.24,458,0,38,420,-4.063
atr_trailing,035420,Naver,0.5,-91.65,-91.65,20.23,341,0,24,317,-6.325
atr_trailing,035720,Kakao,0.5,-94.79,-94.79,20.23,351,0,31,320,-5.901
atr_trailing,068270,Celltrion,0.5,-93.13,-93.13,17.79,326,0,31,295,-6.166
atr_trailing,122630,KODEX_Leverage,0.5,-95.63,-95.63,25.13,382,0,22,360,-5.839
atr_trailing,247540,EcoProBM,0.5,-97.68,-97.73,23.45,371,0,34,337,-5.759
atr_trailing,035420,Naver,0.7,-90.73,-90.73,10.61,264,0,21,243,-6.273
atr_trailing,035720,Kakao,0.7,-94.11,-94.11,16.1,267,0,28,239,-5.835
atr_trailing,068270,Celltrion,0.7,-90.47,-90.47,10.79,241,0,27,214,-6.004
atr_trailing,122630,KODEX_Leverage,0.7,-96.73,-96.73,14.38,299,0,21,278,-6.3
atr_trailing,247540,EcoProBM,0.7,-97.16,-97.21,18.05,277,0,31,246,-5.705
basic,035420,Naver,0.3,-96.71,-96.76,24.23,747,-,-,-,-8.263
basic,035720,Kakao,0.3,-95.39,-95.41,31.81,742,-,-,-,-5.842
basic,068270,Celltrion,0.3,-95.84,-95.9,28.67,750,-,-,-,-6.724
basic,122630,KODEX_Leverage,0.3,-93.43,-93.5,37.27,762,-,-,-,-4.455
basic,247540,EcoProBM,0.3,-92.9,-93.08,38.71,757,-,-,-,-3.591
basic,035420,Naver,0.5,-98.59,-98.59,17.73,609,-,-,-,-10.083
basic,035720,Kakao,0.5,-98.34,-98.34,21.93,602,-,-,-,-8.172
basic,068270,Celltrion,0.5,-98.24,-98.26,18.48,606,-,-,-,-8.835
basic,122630,KODEX_Leverage,0.5,-98.51,-98.51,26.01,619,-,-,-,-7.469
basic,247540,EcoProBM,0.5,-98.68,-98.7,27.26,609,-,-,-,-6.468
basic,035420,Naver,0.7,-98.05,-98.05,10.46,459,-,-,-,-9.445
basic,035720,Kakao,0.7,-97.8,-97.8,17.29,451,-,-,-,-8.179
basic,068270,Celltrion,0.7,-97.84,-97.86,13.49,467,-,-,-,-8.99
basic,122630,KODEX_Leverage,0.7,-99.07,-99.07,16.8,488,-,-,-,-8.447
basic,247540,EcoProBM,0.7,-98.77,-98.77,22.1,466,-,-,-,-7.157
enhanced,035420,Naver,0.3,-85.73,-86.02,27.96,422,2,30,390,-4.441
enhanced,035720,Kakao,0.3,-88.17,-88.32,34.49,432,8,56,368,-3.562
enhanced,068270,Celltrion,0.3,-82.77,-82.95,30.69,404,11,38,355,-3.188
enhanced,122630,KODEX_Leverage,0.3,-88.33,-89.97,39.48,466,19,78,369,-2.874
enhanced,247540,EcoProBM,0.3,-91.76,-92.56,38.26,460,37,112,311,-2.686
enhanced,035420,Naver,0.5,-90.66,-90.78,22.09,344,1,26,317,-5.736
enhanced,035720,Kakao,0.5,-94.27,-94.27,22.51,351,5,57,289,-5.07
enhanced,068270,Celltrion,0.5,-90.76,-90.76,21.47,326,7,38,281,-4.592
enhanced,122630,KODEX_Leverage,0.5,-97.16,-97.16,26.49,385,10,88,287,-5.118
enhanced,247540,EcoProBM,0.5,-97.14,-97.41,26.34,372,24,112,236,-4.246
enhanced,035420,Naver,0.7,-90.98,-91.05,12.36,267,1,31,235,-5.679
enhanced,035720,Kakao,0.7,-94.76,-94.76,17.98,267,4,59,204,-5.303
enhanced,068270,Celltrion,0.7,-88.48,-88.48,14.94,241,5,32,204,-4.573
enhanced,122630,KODEX_Leverage,0.7,-98.32,-98.34,16.56,302,6,97,199,-5.995
enhanced,247540,EcoProBM,0.7,-97.7,-97.92,20.5,278,12,103,163,-5.121
